Timestamp,5. What is your affiliation with Granite School District?,6. Which school do you represent or have students at?,7. Which high school network do you belong to?,"8. Please use this space to add any specific comments or information that you would like to share with the Population Analysis Committee and GSD School Board Members for evaluation. 
"
9/11/2025 18:20:27,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 14. Wasatch Jr, 16. Olympus High, 17. Skyline High",Skyline,"As a 4th grade ALC parent at Morningside, many of our students just switched into Morningside at the beginning of 3rd grade when ALC starts as a cohort. If the current 3rd and 4th grade ALC students at Morningside are forced to move for next school year, these students will have been moved through at least 3 elementary schools in their k-5 experience. Given we know these students thrive in consistent environments, I urge the PAC and board to allow the current 3rd and 4th grade Morningside ALC students to remain at Morningside through the end of their 5th grade year (so all would be completed by May 2028), which also gives Morningside time to build up attendance with DLI French expansion. Students starting ALC in Fall 2026 (starting 3rd grade in fall 2026) could be moved to wherever the ALC program is housed. I agree that Woodstock poses logistical challenges for us with start and end times as per the ALC parent document we have submitted and this needs to be considered as a parent juggling students across multiple schools and programs."
9/11/2025 18:33:45,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,
9/11/2025 18:34:26,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Why keeping the French program at Morningside if programs are cost drivers and that’s why you are closing ALC?
9/11/2025 18:44:51,A) I am a parent / patron with students attending one of the schools in the boundary study.,"3. Driggs El, 13. Olympus Jr, 14. Wasatch Jr, 16. Olympus High",Olympus,"My first question and concern with the PAC study referenced our care and concern for neurodivergent populations. In referencing testing scores, gifted students are represented only as high-performers when in actuality “gifted” generally refers to children who are twice exceptional. These students may not hit that “top 5%”, and are always best served in gifted programs. Where is  the BEST INTEREST of our  NEURODIVERGENT students when collapsing Accelerated Learning Programs? As a parent of a child who was not being served at our “home” school, we found Morningside to be actually interested in helping my son. It was a completely different experience because teacher, aids, social workers, admin were all on board and so much more familiar with neurodivergent students. It was a mind-blowing difference. Where my child fit into that top percentage I could not say. I can say that he has thrived, THRIVED in the ALP. He would never be where he is now - Wasatch Jr GTs, without his Morningside experience."
9/11/2025 19:13:28,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 10. Upland Terrace El, 14. Wasatch Jr, 17. Skyline High",Skyline,"What has been the testing history for the Morningside ALC classes? If they have a great culture and test scores with the top 9% instead of just the top 5%, why not keep it with the top 9%? When will a bus schedule be provided for ALC students that are in the Morningside or Upland Boundary? Why is the school starting so early, as it overlaps with the Jr. High and High School. Why is the ALC being located at an extremity instead of centrally? "
9/11/2025 19:18:53,,,,"It seems like you can’t do basic math—or don’t want to so you can “hide” data to bolster something you’ve already decided on. Why are you using percentages to make admissions for ALC? If 10 kids score 99.(xx), but only 1 can get in because you’re only taking the top 5% how is that at all fair? The students are succeeding and doing well but you’re actually excluding most of them because you’re using percentages. You’re creating a caste system. Shame on you. "
9/11/2025 19:27:20,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,"We have three ‘graduates’ from the Morningside ALC program, and it has been critical in meeting each of their individual needs in very different needs. The experience and training of the incredible teachers has made it possible for them to gain confidence and thrive in middle and high school, and one of our children would have struggled socially in a traditional classroom. 

With a current first grader, we are in a difficult bind as she could end up at THREE different schools in three years-(Morningside ALC first, Woodstock second, and if she doesn’t test in for third grade we would have to find another school at that time). 

If keeping the ALC at Morningside is not feasible, please consider removing the requirement for this first grade cohort to retest and allowing them to move to Woodstock next year and stay in the ALC through fifth grade. Without this modification to the current recommendations, remaining in GSD is not a tenable option for our daughter and family. "
9/11/2025 20:07:16,,,,The score spread of ALC students is not provided. Calculations CAN be made based on more than just percentages. Most state agencies use more than just percentages to calculate things like budget or admissions. If you have 10 kids score high and reject part of them because of percentages that DOES NOT mean that they don’t need high-achieving support. You’re just blindly arguing half of them are not worthy. SHAME on you.
9/11/2025 20:33:52,,,,"It would have been nice if Steve could have used logic to answer even one of the questions tonight. We pretty much got all non-answers that fed his crap agenda. Transparency is key—you, as a pack, provided none. Do better. "
9/11/2025 20:55:32,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Please consider moving Morningside’s ALC to a more central location like Driggs or Upland utilizing the ALC teachers already at Morningside. Please don’t shrink ALC in upcoming years. Thank you!
9/11/2025 21:00:05,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"My name is [name removed] and I have three children that will be in elementary school next year.  As parents, we donate significant time and money to Morningside.  Our oldest is in the ALC program at Morningside in 3rd grade.  She has had a wonderful experience.  We are hoping that our other two children will also test into the ALC experience in the next 2 years.  We value ALC because of the extra educational rigor this program requires.  

We believe the ALC option should be expanded rather than shrunk.  More children need a more rigorous educational experience, with higher expectations.  We are saddened to hear that Granite School District is considering shrinking the number of students who have the option for this program.  We ask that you please reconsider how this program might be expanded.  

In addition, it would help us and many of our neighbors if the ALC program could continue to be located in Area 5, at Upland, Driggs, or Oakridge, for example.  That makes neighborhood friendships and travel logistics much easier.

If needed, we may be open to donating additional resources to help expand ALC and keep it in Area 5.

We look forward to hearing from you. .

Sincerely,
[Name removed]"
9/12/2025 7:01:03,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"Why would the District be looking to reduce/shrink the ALC program that is working really well (from parents and teachers’ perspectives), has been carefully crafted and maintained by some very good teachers, and doesn't (seem to) consume extra resources?

Our child is thriving in Morningside ALC, and we have 2 more children we want to benefit from the program.

If it moves to Woodstock, our most likely choice will be to do regular classes at Upland.  Reducing ALC numbers means we cannot depend on our other 2 being accepted into the program.  And the logistics of having our kids at multiple schools spread out is difficult.

Please reconsider expanding ALC and keep the Morningside ALC teachers together at an Area 5 school.  Please keep a really good program going."
