Timestamp,5. What is your affiliation with Granite School District? ,6. Which school do you represent or have students at? ,7. Which high school network do you belong to? ,"Which of the following, if any, does your feedback best pertain to? (You may choose more than one)","8. Please use this space to add any specific comments or information that you would like to share with the Population Analysis Committee and GSD School Board Members for evaluation. 
"
9/2/2025 21:21:18,A) I am a parent / patron with students attending one of the schools in the boundary study.,7. Oakwood El,Cottonwood,Other,Why close perfectly safe schools. Oakwood and William oen and many others great schools keep them oakwood had been hands down the Safeest and we need to keep things that way
9/2/2025 21:34:30,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,The ALC Program,"My student is in ALC at Morningside. I do not feel it is fair to have all these students go to Woodstock which is very far away. If you are closing Morningside which is bad enough as it is, please continue to have the ALC program at Morningside with the French program or have it move to a closer school if needed. There are too many kids to have it be integrated into the same class with Woodstock, there would need to be two classes each grade anyway, so having it be at another school is feasible. "
9/2/2025 21:43:50,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 14. Wasatch Jr",Skyline,The ALC Program,"If Morningside ALC is combined with Woodstock there where do the students in the program go from Morningside? Will there be two 5th grade ALC at Woodstock? How will it accommodate two classes or is the idea to get rid of a class? This is horrible news for anyone in the program. Also, no one from Morningside ALC wants to go on to Bonneville or Cottonwood HS. What is the  plan for ALC going forward? Get rid of a whole class of students and let fewer in? What about the ALC teachers from Morningside. "
9/2/2025 21:54:03,A) I am a parent / patron with students attending one of the schools in the boundary study.,"3. Driggs El, 13. Olympus Jr, 16. Olympus High",Olympus,A Boundary Change,"I have just listened to the recommendations from the meeting tonight and have concerns. My daughter currently attends Driggs Elementary and under the new proposal she will be rezoned to Cottonwood (we live on Valley View). Per the meeting the rezoning will affect approximately 100 students, 30 from South of Apple Blossom area and 70 from West of Holladay Blvd. These 100 students are currently attending Driggs and even with the rezoning I am certain that 90% if not all will request special permit to continue attending Driggs. Based on the new projected numbers Driggs wouldn't have a problem accommodating these students because they would still have the capacity, even with the new Morningside students attending. I know the final decision has not been decided yet, but I am curious how the priority of these special permits will look. We only have two years left of elementary after this year, I would hate for my daughter to special permit for 4th grade and then not get in the following year. I also see a problem, with Cottonwood only pulling from Driggs for new students, my feeling is families are very happy at Driggs and would be hesitant to go to Cottonwood when it feels like it is not a thriving school. I appreciate all the effort and consideration that has been made in these recommendations. "
9/2/2025 22:20:31,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,The ALC Program,"The current proposal seems very unfair to students who are enrolled or thinking about enrolling in ALC program at morning side. The proposal mentions moving ALC program to Woodstock which feeds into Bonneville Jr High then Cottonwood high. Currently, I do not think Cottonwood high has the ability to do offer IB program which would be disservice to all of these brilliant kids.  Lets assume kids at ALC woodstock decide to move to Churchill/Wasatch Jr which feeds to Skyline High (only high school that offers IB in Granite district on east side) but then they are at risk of loosing their long term social relationships. Due to difference in feeding schools and the effect this would have on future endeavors, I strongly recommend ALC program remains at Morning side just like they are proposing for dual emersion French program. "
9/2/2025 22:33:16,A) I am a parent / patron with students attending one of the schools in the boundary study.,6. Oakridge El,Skyline,Other,We love Oakridge and love that it is in our neighborhood where our kids can walk to and from school.
9/2/2025 23:39:37,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,As a former student of Eastwood and now a mother who moved my child into this district and boundary for my daughter to attended this school - the decision or recommendation to close Eastwood is utterly unacceptable and devastating for our community. We live in Emigration Canyon where the commute for some kids is already 30+ minutes. Closing Eastwood is making a further commute for these kids and creating one mega boundary to include Emigration to go to Oakridge. I know myself and a lot of other Eastwood parents are prepared to pull our kids out of the district and into a charter school if this is the decision made. There repeated message of trying to attract students from other schools and districts instead of focusing on the ones that are already in these schools and how they will be affected was absolutely appalling. 
9/3/2025 6:40:53,A) I am a parent / patron with students attending one of the schools in the boundary study.,7. Oakwood El,Cottonwood,Other,"Oakwood is an excellent institution that has been and continues to be a pillar in this community. After already accepting students from previous closures, the school continues to operate at a prestigious level. The staff, students and community would suffer greatly from a closure of this consistently high performing school. "
9/3/2025 8:20:21,A) I am a parent / patron with students attending one of the schools in the boundary study.,"2. Crestview El, 5. Morningside El",Olympus,The ALC Program,"Our child is currently in the ALC program at Morningside, which is outside our home boundaries but is still relatively close. Moving the ALC program to Woodstock would significantly increase the time we spend driving every day--this is a big burden and logistical problem for our family. And it would affect other families even more--for example, families in the Eastwood boundaries would spend at least an hour every day driving to and from Woodstock. This is a waste of children's time and parents' resources. If sufficient ALC kids live in Area 5 to fill an ALC program, it seems unduly burdensome to send them all to a different area. So I hope the ALC program will remain within Area 5 boundaries."
9/3/2025 9:40:22,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 12. Evergreen Jr, 16. Olympus High",Olympus,The ALC Program,"Dear GSD School Board Members, 

We are so thankful for your tireless work in supporting the students of GSD. 

All of our children have participated in the ALC program at Morningside. The three oldest are now in 11th/7th/7th and thriving at Evergreen and Olympus. The academic and social aspects of the ALC program were critical in their development and most importantly, their love for school and learning that they continue to carry with them. Our oldest son would have been lost socially in a traditional classroom, but being other students who love to read, connect cognitively and verbally were life saving for him. Our twins (girls), now in seventh grade were significantly impacted by the depth of instruction and differentiation of education made possible by their ALC teachers and classmates. Their confidence in their academic abilities, especially in math and science are a gift I attribute to their ALC experience

Currently, we have a first grader in the Morningside ALC program where she is thriving and loving her teacher [teacher name removed]. The proposal to move the ALC to Woodstock creates a painful predicament for our family-[student name removed] could potentially have to attend three different schools in three years. As we understand it, she could move to Woodstock next year and then retest for third. It sounds like admittance will drop by around 40% and so if she doesn’t test in we will be stuck looking for another option for her in third grade, and since we are in the WP/spanish DLI boundaries our own neighborhood school isn’t a great option.  

We are sympathetic to all of the conflicting demands at play, but wanted to draw your eye to the particular challenge this proposal brings to the first grade ALC class. As we considered this dilemma, a few ideas came to our minds that would soften the impact.

Our preference as a family would be to keep the ALC program at Morningside and let the current first graders continue through and complete fifth grade there. If that isn’t feasible under the current circumstances, it would ease our minds greatly if [student name removed] (and all first and second graders) could be guaranteed acceptance in the ALC through fifth grade if she moves to Woodstock next year.

Continuity and stability are core values for us, and before deciding on the ALC we had [student name removed] enrolled in private school for first grade as we were nervous about the upcoming changes in the district and we didn’t want to disrupt her academic, social and emotional experience with multiple school moves. Our highest goal is that she loves school and learning and that level of chaos would unquestionably have a negative impact on her.

We truly appreciate you, and acknowledge our general place of privilege to be able to educate our children and have so many capable leaders invested in making our district the best it can be. We would be so grateful if you could consider our suggestions and concerns moving forward and communicate them as you see fit.

Truly,
[Names removed]"
9/3/2025 10:12:28,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,The ALC Program,"The ALP program at Morningside Elementary should absolutely be preserved, even if it is located at another school. For children in the 2nd grade program, suddenly having half the spots available while testing into third grade and facing the breakup of their cohort (which is presented as an important component of the program) will be extremely detrimental to the students academic and social progress. These programs are crucial for students with particular needs and learning goals, and cutting this program seriously challenges the district's stated mission of ""challenging students to achieve their highest potential"". "
9/3/2025 10:24:39,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,The ALC Program,"Hi,
I am the mom of two students at morningside elementary. One of my kids attend the Alc program. We received a message that our school, along with Eastwood elementary is potentially going to close. I had to write this message because I want to know what this closure study is all about. This doesn’t seem like a sound solution to any of the proclaimed issues with low attendance or old buildings etc. This seems like a political or monetary decision that will take away a public school from the neighborhood. Morningside will become a French dli school and the neighborhood families will be kicked out and have to drive to Woodstock elementary????? The school with almost 100% attendance and a great Alc program will close???? The building will remain??? And the cottonwood elementary with low attendance and same old infrastructure is not even on the list??? I really would like to know what this really is all about. How can you close two schools within a mile of each other. This move will only fix the attendance problem in oakridge elementary. And all other schools with enrollment issues will remain while Morningside will become a low enrollment school and not available to neighborhood families.

I know at least a dozen of other neighborhood families who will have to separate their kids, based on different programs or drive them miles away. This doesn’t seem fair. I hope you will revisit your decision. You made very many families upset and basically got rid of the ALC program because none of the Alc families I know will consider the Woodstock elementary as an option. All these deserving kids will end up at the traditional track unless you keep the school open. 

Thank you for your service,
[Name removed]"
9/3/2025 13:32:38,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,The ALC Program,"I’m writing to express serious concern about the recommendation to move all Advanced Learning Center (ALC) students from Morningside to Woodstock. While I support the value of public education and want to see Granite School District succeed, this proposal feels like a serious oversight in terms of accessibility and student well-being.

For families in Immigration Canyon, Eastwood, and nearby neighborhoods, this change would mean an hour or more commute each day. That is not a reasonable expectation for elementary-aged children, and it raises questions about how this decision accounts for student health, family logistics, and equity across the district.

Adding to the frustration, Morningside is slated to remain open for the Dual Immersion program. Why is the ALC program not included there as well, particularly given its success and the precedent that other ALC sites are already located within their communities rather than requiring this level of commute?

If families are left with no viable option other than these long daily commutes, many of us will feel forced to leave Granite School District in favor of charter or private schools. That’s a choice I would prefer not to make, as I strongly believe in supporting public education—but this decision, as it stands, undermines that commitment.

I am asking for clarity: what data and reasoning led to this recommendation and how was the burden of hour-long commutes and the decision to exclude ALC from Morningside factored into the analysis? Without a clear, thoughtful answer, this feels like a miscalculation that puts efficiency above the needs of children and families."
9/3/2025 13:37:02,A) I am a parent / patron with students attending one of the schools in the boundary study.,"4. Eastwood El, 5. Morningside El",Skyline,Eastwood Closure,"Eastwood defines our neighborhood and community. We voted in favor of the school bond in 2017 because we were told that Eastwood would be rebuilt. Recommending to close it instead destroys all trust in Granite's leadership. Not a mistake we will make twice.

Why would you also recommend moving the Morningside ALC program out to Woodstock? We need these programs in our area too. Why wouldn't you keep it nearer to its current location? Why not keep ALC at Morningside, if it will remain open for DLI anyway? Or move ALC to Eastwood or Oakridge?

If Eastwood is closed and ALC moves so far away, I don't see any way that we would remain with Granite School District."
9/3/2025 17:02:33,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,The DLI Program,I think the narrowed PAC recommendation provided on September 2 sounds like a great plan  for the district. Would be really excited to have a French Immersion dedicated school and think it would attract a lot of families.
9/3/2025 17:04:09,A) I am a parent / patron with students attending one of the schools in the boundary study.,3. Driggs El,Olympus,A Boundary Change,"I am one of the ~100 affected people going to Driggs who would be reassigned to Cottonwood elementary. I can assure you that the families in this area are heartbroken and upset that this is a “consideration” (what seems more like a decision) to push us out of our Driggs community after years of being part of it with our own kids. My husband went to Driggs, my sister in law taught there for many years and our entire network and extended families attend Driggs. You have to recognize it’s part of our identity and the reason we purchased our home where we did. For us as families that have been established at Driggs, you need to anticipate and allow us to continue there if we desire. New families over time will adapt and attend their boundary school, but for those of us in the middle of raising elementary-age children, you need to recognize the challenges that come from ripping apart a community and singling out 100 or so people. We want reassurance that we have flexibility to attend Driggs if that meets the needs of our family. In our time at Driggs, it is clear that Driggs has accepted a large amount of families to go to Driggs who live far out of the boundary. I know a number of families who live in Taylorsville, at 7th east, 5th east, etc. and are currently grandfathered into the exception list to attend Driggs. If they are allowed this exception, you need to allow and assure that any of us who are impacted who never needed or wanted an exception are allowed that while we raise our children. Also Crestview and Driggs are both closer to our area and I don’t understand why Cottonwood of all places is where we would be directed. This seems to add skepticism of the validity of these decisions. 

We also live within close vicinity (.5 miles) to Olympus Junior High and therefore expect to attend this school as well as Olympus High. If the rumors are true that in 5-7 years that Oakwood and Cottonwood elementaries will feed into Cottonwood High, you will have more upset families in the future as that decision would make no sense for those affected by this shift to Driggs to Cottonwood. Please make decisions that make sense for the geographical location of families as well as the network that are in currently. 

I am also deeply concerned that decisions regarding our schools are being made for selfish reasons. I was informed that Julie Jackson attended Cottonwood elementary as a child and is hyper focused on “saving” Cottonwood elementary because she went there. If this is motivating the decisions, this type of behavior from our government is corrupt and self interested, an extreme conflict of interest, and families who are being forced to go to Cottonwood against their will are extremely upset with her personally, and are and will continue to speak about this loudly to the community. "
