From_Boundary,Cottonwood,Crestview,Driggs,Eastwood,Morningside,Oakridge,Oakwood,Penn,Rosecrest,Upland Terrace,Academy Park Elementary,Alternative 3-A Elementary,Arcadia Elementary,Calvin S Smith Elementary,Granger Elementary,Hartvigsen School,Neil Armstrong Academy,Vista Elementary,Woodrow Wilson Elementary,Woodstock Elementary,Yess Salt Lake County Youth Services
COTTONWOOD,233,0,4,1,18,1,3,11,1,1,0,3,0,0,0,2,0,0,0,1,0
CRESTVIEW,1,430,9,3,25,3,9,26,1,6,0,15,0,0,1,0,0,2,0,5,0
DRIGGS,13,12,341,2,38,3,2,11,0,6,0,8,0,0,0,0,0,0,0,0,1
EASTWOOD,0,0,1,125,10,26,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0
MORNINGSIDE,2,0,33,29,189,25,1,6,4,15,0,4,0,0,0,0,0,0,0,1,0
OAKRIDGE,2,0,0,5,36,181,2,1,0,3,0,4,0,0,0,0,0,0,0,3,0
OAKWOOD,45,1,9,1,9,2,329,10,0,3,1,13,1,0,1,1,0,0,0,44,0
PENN,4,11,4,12,16,0,7,273,7,6,0,3,0,0,0,0,0,0,0,3,0
ROSECREST,1,2,1,10,29,1,2,31,237,5,0,8,0,0,0,0,1,0,1,1,0
UPLAND TERRACE,2,1,0,12,42,3,0,12,1,322,0,6,0,1,0,0,0,0,0,4,0
ACADEMY PARK,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCADIA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMSTRONG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BACCHUS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIDGER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMOND RIDGE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNSWORTH,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREMONT,0,2,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FROST,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRANGER,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HILLSDALE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACKLING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE RIDGE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINCOLN,1,3,10,7,16,0,8,70,9,22,0,0,0,0,0,0,0,0,0,0,0
MAGNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSS,5,3,10,4,12,1,31,48,4,12,0,0,0,0,0,0,0,0,0,0,0
OLENE WALKER,1,1,0,4,2,6,5,13,1,1,0,0,0,0,0,0,0,0,0,0,0
ORCHARD,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of District,28,7,9,30,73,17,84,50,15,10,0,0,0,0,0,0,0,0,0,0,0
PIONEER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PLYMOUTH,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
REDWOOD,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ROLLING MEADOWS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILVER HILLS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMITH,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH KEARNS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STANSBURY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TAYLORSVILLE,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUMAN,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
VALLEY CREST,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISTA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITTIER,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WILSON,0,0,0,11,11,2,9,20,5,16,0,0,0,0,0,0,0,0,0,0,0
WOODSTOCK,1,1,0,0,14,3,30,6,0,5,0,0,0,0,0,0,0,0,0,0,0
